"Name","Gender","Total"
"Emma","F",39829
"Olivia","F",38884
"Sophia","F",33451
"Ava","F",32577
"Isabella","F",30296
"Mia","F",29237
"Charlotte","F",24411
"Abigail","F",24070
"Emily","F",22692
"Harper","F",21016
"Amelia","F",20540
"Evelyn","F",19412
"Elizabeth","F",19196
"Madison","F",19054
"Sofia","F",18815
"Avery","F",18063
"Ella","F",15748
"Chloe","F",15317
"Grace","F",15161
"Victoria","F",14867
"Scarlett","F",14801
"Aubrey","F",13883
"Zoey","F",13341
"Aria","F",13296
"Lily","F",13202
"Addison","F",13001
"Lillian","F",12930
"Riley","F",12830
"Natalie","F",12646
"Layla","F",12548
"Hannah","F",12374
"Penelope","F",12303
"Brooklyn","F",12213
"Zoe","F",11738
"Camila","F",11307
"Leah","F",10986
"Audrey","F",10930
"Nora","F",10875
"Alexa","F",10809
"Savannah","F",10773
"Skylar","F",10370
"Samantha","F",10255
"Allison","F",10104
"Claire","F",10013
"Paisley","F",9908
"Ellie","F",9900
"Anna","F",9868
"Stella","F",9698
"Violet","F",9642
"Mila","F",9526
"Eleanor","F",9524
"Ariana","F",9521
"Aaliyah","F",9461
"Lucy","F",9106
"Sadie","F",9005
"Hazel","F",8922
"Sarah","F",8885
"Kennedy","F",8825
"Gabriella","F",8821
"Caroline","F",8732
"Madelyn","F",8686
"Genesis","F",8482
"Arianna","F",8388
"Kaylee","F",8176
"Maya","F",8170
"Hailey","F",8154
"Autumn","F",8098
"Piper","F",8048
"Serenity","F",7755
"Nevaeh","F",7735
"Aurora","F",7595
"Kylie","F",7545
"Eva","F",7533
"Naomi","F",7522
"Bella","F",7419
"Peyton","F",7377
"Ruby","F",7250
"Mackenzie","F",7240
"Alice","F",7081
"Lydia","F",7081
"Aubree","F",7012
"Taylor","F",7002
"Melanie","F",6963
"Cora","F",6747
"Quinn","F",6725
"Katherine","F",6701
"Julia","F",6679
"Madeline","F",6584
"Brianna","F",6540
"Adeline","F",6506
"Ashley","F",6443
"Luna","F",6441
"Gianna","F",6379
"Faith","F",6340
"Vivian","F",6321
"Annabelle","F",6236
"Isabelle","F",6221
"Eliana","F",6158
"Reagan","F",6128
"Kinsley","F",6124
